creationDelay, qDelay1, qCapacity1, qDelay2, qCapacity2, qDelay3, qCapacity3, totalNumCustomers, totalDropoutProbability, numDropouts1, meanQLength1, meanUtilization1, numDropouts2, meanQLength2, meanUtilization2, numDropouts3, meanQLength3, meanUtilization3
1.2,1.0,5,1.0,5,1.0,5,834,3.793243795478193E-5,17,0.9557074641096373,0.7998012886711372,29,1.4530493012401131,0.7792410816668375,37,1.3283658642026794,0.7356441297270032
0.8,1.0,5,1.0,5,1.0,5,1251,0.0018196405648267012,258,3.647564886427801,0.9941106589882512,126,2.119281553315534,0.8564003566317059,39,1.3989148127313775,0.7820217774148244
1.0,1.0,5,1.0,5,1.0,5,1001,2.4379532168137337E-4,62,1.9687564714346795,0.8865539376572871,45,1.718231368209077,0.8318193138405305,60,1.543408995988184,0.774233854237852
1.2,0.8,5,1.0,5,1.0,5,834,0.0,0,0.3363385340652694,0.6422987098321838,14,1.3470293857312596,0.8083036808776547,41,1.3999194512805557,0.7816099075315698
1.2,1.0,5,0.8,5,1.0,5,834,1.5530769482845567E-5,25,1.2569998620015728,0.8073037260287389,8,0.8018186533545724,0.6683453558785202,38,1.4708496698926463,0.7705608949110061
1.2,1.0,5,1.0,5,0.8,5,834,1.4361789704659257E-5,13,1.2418069213359457,0.8364507202710232,34,1.5362333065306013,0.7905000723171703,16,0.8345883467727503,0.6289958588775664
1.2,1.2,5,1.0,5,1.0,5,834,6.407826179111033E-5,69,2.5401756094148675,0.9467463924966603,22,1.1714440876646266,0.7326467246672496,17,1.1544083804986158,0.7319416092552306
1.2,1.0,5,1.2,5,1.0,5,834,3.62541632136413E-5,18,1.2047285473612255,0.801215345706757,41,1.7759634506349806,0.8647914773850186,23,1.057348635553044,0.7073905532305761
1.2,1.0,5,1.0,5,1.2,5,834,1.949317738791423E-4,35,1.3624618893354967,0.8103904325540956,34,1.4861223310618654,0.772932006266975,69,1.6685270384958786,0.8094881174725007
1.2,1.0,1,1.0,5,1.0,5,834,9.844770335529771E-6,128,0.2881545061712331,0.730036509228238,2,0.7448955903121662,0.6878536563912367,13,0.9168334866257466,0.6958690127323502
1.2,1.0,5,1.0,1,1.0,5,834,4.3745304272919905E-5,20,1.3222450842026596,0.8291830997427969,177,0.2551003285113308,0.6029064808680564,4,0.7160988434288382,0.6444455645570939
1.2,1.0,5,1.0,5,1.0,1,834,3.3189873931207614E-4,18,1.3837315540252013,0.8283991600471279,38,1.5401186346306175,0.8004674865592466,180,0.2632102514690582,0.5987705258699106
1.2,1.0,7,1.0,5,1.0,5,834,5.195959852550206E-5,12,1.4909918066563033,0.8291976999214712,45,1.4178093573768842,0.7751717805584056,44,1.3503905384425152,0.7713368481992763
1.2,1.0,5,1.0,7,1.0,5,834,5.53129857815737E-5,23,1.3391029155400358,0.8245302839013721,28,2.265233928477193,0.8015075358788527,40,1.4574829670339982,0.7821191704470933
1.2,1.0,5,1.0,5,1.0,7,834,1.0432147556637528E-5,20,1.2765684035666445,0.8297832540985155,41,1.5089522561564364,0.7917375604350173,6,1.345027067019438,0.7062596659812582
